solution_id,distance,max_workload,relocated_offices
0,154.615221487796,1.1199999999999999,0
1,156.70732400284996,1.09,0
2,162.6305634151781,1.08,0
3,166.5335545841666,1.05,0
4,177.3773697320585,1.04,0
5,182.8394356074763,1.01,0
6,106.7132327169449,1.1199999999999999,1
7,108.80533523199884,1.09,1
8,112.62476118814024,1.08,1
9,112.916199755518,1.05,1
10,114.94458093965926,1.01,1
11,105.05653000684552,1.1149,2
12,107.14863252189946,1.0866,2
13,110.13089795280743,1.0706,2
14,111.07508878302883,1.0439,2
15,111.7905994757414,1.0068000000000001,2
16,103.62671041188815,1.1307,3
17,105.05653000684549,1.1149,3
18,106.59785544391693,1.0866,3
19,109.97316061826024,1.0439,3
20,110.97119752528228,1.0068000000000001,3
21,103.56395980541876,1.16,4
22,103.56395980541878,1.15,4
23,103.56395980541879,1.14,4
24,105.05653000684548,1.1199999999999999,4
25,106.59785544391688,1.09,4
26,109.33253982154089,1.05,4
27,110.97119752528224,1.04,4
28,110.97119752528225,1.02,4
